<U>Purchase two tickets for Mulan for 4pm today.	[A]Do you want to purchase two tickets for Mulan at 6:10pm today?	dlg-f15a36b2-3c86-4397-9b71-76b70908dc8e
<PR>find_theaters<PRAN>name.theater<PRAV>AMC<C><U>Can you book tickets for a movie at the a theater for me?<A>Sure. What theater do you want?<U>AMC please.<A>Great. What movie do you want to see?<U>The Joker movie.<PN>find_theaters<PAN>name.movie<PAV>Joker<PAN>location<PAV>nearby	[A]I do not show an available showing for the Joker at the AMC theater. Do you want to pick another theater?	dlg-b2c00693-9a23-4a1c-87a0-1d21d3a302bc
<U>Yes<C><U>Hey, I'm in Spring Hill and I would like to see a movie<A>Okay, what would you like to see?<U>Do you know of any good comedies playing right now?<PN>find_movies<PAN>location<PAV>Spring Hill<PAN>name.genre<PAV>comedies<PAN>description.other<PAV>good<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 72%<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>Not My Problem - Comedy - rated PG-13 - Rotten Tomatoes 72% - A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.<U>Okay, what about a romantic comedy?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>romantic comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated R<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 69%<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist-<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>Family Jewels - Romantic Comedy - rated R - Rotten Tomatoes 69% - A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist- Stars Melissa McCarthy and Ryan Reynolds.<U>Okay, I'm in the mood for a romantic comedy<A>Would you like to see Family Jewels then?	[A]When would you like to see it?	dlg-d14dccc7-51d5-4eea-80dd-09ea86898766
<U>That’s right.<C><U>I’d like movie tickets for the film that ends with die.<PN>resolve_movie<PAN>name.movie<PAV>the film that ends with die<PR>resolve_movie<PRAN>name.movie<PRAV>No Time To Die<A>Happy to help! Let me just confirm that the movie name is No Time To Die. Is that right?	[A]OK. Would you mind giving me the city and state where you’d like to see your movie?	dlg-f417c82b-c0e2-4c18-809a-0b907c8661e7
<U>I want to focus on movies that are less than two hours.<C><U>I want a reccomendation for a movie to see this weekend with my kids.<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Frozen II<PRAV>A Beautiful day in the Neighborhood<PRAV>Last Christmas<A>Frozen II, A Beautiful day in the Neighborhood, and Last Christmas are all playing near you this weekend.	[PN]get_movie_attribute[PAN]name.movie[PAV]Frozen II[PAN]attribute[PAV]duration.movie	dlg-cd56c436-056b-405a-97d4-75e8ac379783
<U>I think we'll do the first one, Not My Problem. When is it playing?<C><U>My family and I would like to see a movie tonight and need 4 tickets for something good. Can you give me some recommendations for Spring Hills, Kansas?<PN>find_movies<PAN>description.other<PAV>something good<PAN>location<PAV>Spring Hills, Kansas<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PRAV>Shuttered<PRAV>Backcountry<PRAV>Beyond the Storm<A>Absolutely, the top showings in Spring Hill are: Not My Problem, Family Jewels, Shuttered, Backcountry and Beyond the Storm.<U>What can you tell me about Not My Problem?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 72%<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>Not My Problem - Comedy - rated PG-13 - Rotten Tomatoes 72% - A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.<U>Ok, what about Family Jewels?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Romantic Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated R<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 69%<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist-<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>Family Jewels - Romantic Comedy - rated R - Rotten Tomatoes 69% - A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist- Stars Melissa McCarthy and Ryan Reynolds.	[PN]find_showtimes[PAN]name.movie[PAV]Not My Problem[PAN]name.theater[PAV]AMC Holiday Theater[PAN]date.showing[PAV]tonight[PAN]time.preference[PAV]tonight	dlg-a6c43d2b-007e-4ba3-ae13-6a5f27b34bf1
<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<C><U>My boyfriend and I are going to Spring Hills, Kansas today for a date. We need a movie to see.<A>Do you have a particular movie theater you would like to see a movie at?<U>AMC Holiday Theater<A>Any certain time?<U>Any one from 5 to 9 pm.<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.theater<PAV>AMC Holiday Theater<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem:<PRAV>Family Jewels:<PRAV>Shuttered:<PN>find_showtimes<PAN>name.movie<PAV>Not My Problem:<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>5 to 9 pm<PR>find_showtimes<PRAN>time.showing<PRAV>1pm<PRAV>3:55pm<PRAV>7pm<PRAV>10:05pm<PN>find_showtimes<PAN>name.movie<PAV>Family Jewels:<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>5 to 9 pm<PR>find_showtimes<PRAN>time.showing<PRAV>2:00pm<PRAV>5:00pm<PRAV>8:10pm<PN>find_showtimes<PAN>name.movie<PAV>Shuttered:<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>5 to 9 pm<PR>find_showtimes<PRAN>time.showing<PRAV>3:00pm<PRAV>5:45<PRAV>9:00pm<A>Here are a list of movies and times: Not My Problem: AMC Holiday Theater - 1pm - 3:55pm - 7pm - 10:05pm Family Jewels: AMC Holiday Theater - 2:00pm - 5:00pm - 8:10pm Shuttered: AMC Holiday Theater - 3:00pm - 5:45 - 9:00pm<U>I've heard good things about all three but have no idea what they are about. Can you tell me more about Shuttered?<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.character<PR>get_movie_attribute<PRAN>name.character<PRAV>Sarah Decker<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm<A>Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm.<U>What is it rated?<A>R<U>Ok, can you tell me about Family Jewels and what it was rated?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels:<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Romantic Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 69%<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist-<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person	[A]Family Jewels - Romantic Comedy - rated R - Rotten Tomatoes 69% - A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist- Stars Melissa McCarthy and Ryan Reynolds.	dlg-82a5975d-2778-437b-afc9-1e0556a51e60
<U>One is called Shuttered and the other is called Not My Problem.<C><U>Hey, I wanted some help getting some movie information.<A>Sure thing, what films are you looking up?	[A]Okay, I have those films pulled up. What information did you want about them?	dlg-05fbc4b3-1966-41f1-a74c-c7af0b066c1c
<U>Are there any movies playing on Wednesday around Spring Hill Kansas.	[A]Yes. There's two theaters near you with movies play, 5 movies total.	dlg-59bb684e-9bbb-46fe-9622-00e2c324dd26
<U>I want to get three tickets for the movie tonight	[A]OK. Can you tell me the city and state where the theater is located?	dlg-a28a8356-8fa4-47ef-a9a0-a5205058b739
"<U>Yeah.<C><U>Is ""Far from You"" playing at the Legacy tonight?<PN>find_movies<PAN>name.theater<PAV>Legacy Monument Family 12<PAN>location<PAV>Land’s End<PR>find_movies<PRAN>name.movie<PRAV>""Far from You""<A>Yes, the movie ""Far From You"" is playing tonight at the Legacy Monument Family 12 in Land’s End.<U>What times?<PN>find_showtimes<PAN>name.movie<PAV>""Far from You""<PAN>name.theater<PAV>Legacy Monument Family 12<PAN>date.showing<PAV>tonight<PAN>location<PAV>Land’s End<PR>find_showtimes<PRAN>time.showing<PRAV>8:40 PM<PRAV>10:40 PM<A>""Far From You"" is playing at 8:40 PM and 10:40 PM tonight at the Legacy.<U>What else is playing?<PN>find_movies<PAN>name.theater<PAV>Legacy Monument Family 12<PAN>location<PAV>Land’s End<PR>find_movies<PRAN>name.movie<PRAV>""Sam's Delight""<A>The movie ""Sam's Delight"" is also playing at the Legacy tonight.<U>What times?<PN>find_showtimes<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>Legacy Monument Family 12<PAN>location<PAV>Land’s End<PAN>name.movie<PAV>""Sam's Delight""<PR>find_showtimes<PRAN>time.showing<PRAV>4:00 PM<PRAV>6:10 PM<PRAV>8:30 PM<PRAV>10:40 PM<A>""Sam's Delight"" is playing tonight at 4:00 PM, 6:10 PM, 8:30 PM and 10:40 PM.<U>What's it about?<PN>get_movie_attribute<PAN>name.movie<PAV>""Sam's Delight""<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>a rescued dog that introduces joy into a family struck by COVID-19<A>""Sam's Delight"" is about a rescued dog that introduces joy into a family struck by COVID-19.<U>Are there tickets available?<A>For what time?<U>Never mind, just get me tickets for ""Far From You"".<A>What time?<U>The 8:40 PM show.<A>How many tickets?<U>Two adults.<A>Okay, so you want me to purchase two adult tickets to tonight's 8:40 PM showing of ""Far From You"" at the Legacy Monument Family 12?"	"[PN]book_tickets[PAN]name.movie[PAV]""Far from You""[PAN]name.theater[PAV]Legacy Monument Family 12[PAN]num.tickets[PAV]Two[PAN]time.showing[PAV]8:40 PM[PAN]date.showing[PAV]tonight[PAN]seating[PAV]any"	dlg-e1b7bb94-1cd1-4493-a047-c1d55af724b2
<U>which time<C><U>i want a ticket?<A>How many tickets do you want?<U>which films are running there?<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 72%<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Romantic Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 69%<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist-<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds.<A>Movie1: Not My Problem - Comedy - rated PG-13 - Rotten Tomatoes 72% - A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp. Movie2: Family Jewels - Romantic Comedy - rated R - Rotten Tomatoes 69% - A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist- Stars Melissa McCarthy and Ryan Reynolds.<U>which film will be good?<A>family jewels<U>i want 2 tickets<A>yeah i will give you	[PN]find_showtimes[PAN]name.movie[PAV]Family Jewels[PAN]date.showing[PAV]today[PAN]time.preference[PAV]any	dlg-0db92674-7a0a-4059-a9a6-7a5b048f85ee
<U>Send me options.<C><U>I need 2 tickets today for movie Possession.<A>Time? Location?	[PN]find_theaters[PAN]name.movie[PAV]Possession	dlg-c7a707a1-226b-4be5-81b9-4a6a86aa0754
<U>i'm in Creek’s End, Oregon<C><U>I'm wanting to see a movie<A>OK. And where will you be seeing the movie?<U>something close by<A>OK. Can you give me the city and state?	[PN]resolve_location[PAN]location[PAV]Creek’s End, Oregon	dlg-96641f69-7ca8-4079-9c7f-6c12932a8c89
<U>Two.<C><U>I would like to book movie tickets.<A>I can help with that. What city and state would you like to see the movie?<U>Spring Hills, Kansas.<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday theater<PRAV>Cinemark Downtown<A>I see the closest theater to you is an AMC Holiday theater.<U>What is playing there?<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.theater<PAV>AMC Holiday theater<PR>find_movies<PRAN>name.movie<PRAV>Not my Problem<PRAV>Shuttered<PRAV>Family Jewels<A>Shuttered, Not my Problem, and Family Jewels.<U>Is there another theater in my area?<A>Yes, a Cinemark Downtown.<U>What is playing there?<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.theater<PAV>Cinemark Downtown<PR>find_movies<PRAN>name.movie<PRAV>Backcountry<PRAV>Beyond the Storm<A>Backcountry and Beyond the Storm.<U>What is Backcountry about?<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Explore Yosemite in all its glory in this award winning film that delves into the wonders of one of the United State’s most iconic national parks<A>Explore Yosemite in all its glory in this award winning film that delves into the wonders of one of the United State’s most iconic national parks.<U>What is the Rotten Tomatoes score?<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>91%<A>91%.<U>Sounds good. What are the showtimes for today?<PN>find_showtimes<PAN>name.movie<PAV>Backcountry<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>4:10pm<PRAV>7:30pm<PRAV>10:15pm<A>4:10pm - 7:30pm - 10:15pm.<U>Can I get tickets for the first available showing?<A>How many tickets are you going to be needing?	[PN]book_tickets[PAN]name.movie[PAV]Backcountry[PAN]name.theater[PAV]Cinemark Downtown[PAN]num.tickets[PAV]Two[PAN]time.showing[PAV]4:10pm[PAN]date.showing[PAV]today[PAN]seating[PAV]any	dlg-8cd431a4-e928-48f4-9c76-99703b4f07c2
